Código institución,Nombre institución,Código del registro,Nombre del registro,Tipo de registro,Estado registro,Descripción del registro,Área responsable,Cargo del o la responsable,Tipo de inicio,Acto de inicio,Acto de término,Producto institucional relacionado,Número Ley,URL de la Ley en LeyChile (Biblioteca del Congreso Nacional de Chile),Otras fuentes normativas,Pago asociado,Tipo de usuario(a),Segmento de usuarios(as),Relación con el Registro Social de Hogares (RSH) y/o con el Registro de Información Social (RIS) para la selección de sus usuarios,Disponibilidad para su realización,Nivel de digitalización,Canal digital - Canales transaccionales,Canal presencial - Canales transaccionales,Canal telefónico - Canales transaccionales,Módulos de autoatención - Canales transaccionales,URL del inicio,Ficha ChileAtiende relacionada,URL de ficha ChileAtiende,Número de plataformas electrónicas que intervienen en el soporte electrónico,Alcance de las plataformas electrónicas que soportan el registro,Utiliza SIMPLE con modalidad Saas como plataforma para la digitalización,Utiliza SIMPLE con modalidad On premise como plataforma para la digitalización,Utiliza Plataformas desarrolladas por la institución (equipo propio) como plataforma para la digitalización,Utiliza Plataformas desarrolladas por la institución (provisto externamente) como plataforma para la digitalización,Utiliza  Plataformas transversales provistas por el Estado como plataforma para la digitalización,No utiliza mecanismo de autenticación - Autenticación,Utiliza ClaveÚnica - Autenticación,Utiliza Clave Tributaria - Autenticación,Utiliza un mecanismo de autenticación propio - Autenticación,Mecanismo de autenticación digital para funcionarios,Firma electrónica Avanzada,Notificación(es) practicada(s),Tiene etapa Inicio,Tiene etapa Instrucción,Tiene etapa Finalización,Medio utilizado para notificar en la etapa de iniciación,Medio utilizado para notificar en la etapa de instrucción,Medio utilizado para notificar en la etapa de finalización,"Dato, documentos(certificados) y/o expedientes en poder de otros órganos de la Administración del Estado",Documento(s) notarial(es),Nombre del documento notarial relacionado,Medio utilizado para enviar comunicaciones oficiales entre órganos de la Administración del Estado,Fecha de creación,Fecha de actualización
PE-GOR-00046,Gobierno Regional de la Región de la Araucanía,PA-GOR00046-00018,Trato directo,Procedimiento administrativo de función común,Completado,"El Procedimiento Administrativo (PA) es el procedimiento de contratación que, por la naturaleza de la negociación que conlleva, deba efectuarse sin la concurrencia de los requisitos señalados para la licitación o propuesta pública y para la privada. Tal circunstancia deberá, en todo caso, ser acreditada según lo determine el reglamento. Para ello, se gestiona una  orden de compra mediante la plataforma Mercado Público y a continuación se gestiona el envio y recepción de los productos junto a su facturación.",Administración y finanzas,Proceso de Funcionamiento,"De oficio: Por propia iniciativa, como consecuencia de una orden superior, a petición de otros órganos o por denuncia.",Solicitud de compra de bienes y/o servicios,Aceptación o rechazo de la factura o documento comercial del bien y/o servicio,,19886,https://www.bcn.cl/leychile/navegar?idNorma=213004,No,,,,,,Nivel 2,,Sí,,,https://intranet.gorearaucania.cl/index.php?id=244&no_cache=1,,,3,Las plataformas electrónicas soportan parcialmente las etapas de tramitación del procedimiento administrativo y/o trámite,,,,Sí,,,,,Sí,Utiliza un mecanismo propio de autenticación digital para funcionarios,Utiliza firma electrónica avanzada del Estado (FirmaGob),Sí,Sí,Sí,Sí,Sólo por medios electrónicos.,Solo por medios eléctronicos,Solo por medios eléctronicos,No,,,"Sí, realiza envíos por medios electrónicos propios y DOC Digital",2023-12-28 12:40:05,2024-10-21 17:23:22
PE-GOR-00046,Gobierno Regional de la Región de la Araucanía,PA-GOR00046-00019,Compra Ágil,Procedimiento administrativo de función común,Completado,"El Procedimiento Administrativo (PA) es un tipo de Trato Directo, por el cual se pueden adquirir a través del Portal, bienes y/o servicios por un monto igual o inferior a 30 Unidades Tributarias Mensuales (UTM), sin necesidad de una resolución fundada. Para ello se gestiona una  orden de compra mediante la plataforma Mercado Público y a continuación se gestiona el envio y recepción de los productos junto a su facturación.",Administración y finanzas,Proceso de Funcionamiento,"De oficio: Por propia iniciativa, como consecuencia de una orden superior, a petición de otros órganos o por denuncia.",Solicitud de compra de bienes y/o servicios,Aceptación o rechazo de la factura o documento comercial del bien y/o servicio,,19886,https://www.bcn.cl/leychile/navegar?idNorma=213004,No,,,,,,Nivel 2,,Sí,,,https://intranet.gorearaucania.cl/index.php?id=244&no_cache=1,,,3,Las plataformas electrónicas soportan parcialmente las etapas de tramitación del procedimiento administrativo y/o trámite,,,,Sí,,,,,Sí,Utiliza un mecanismo propio de autenticación digital para funcionarios,No utiliza firma electrónica avanzada,Sí,Sí,,Sí,Sólo por medios electrónicos.,,Solo por medios eléctronicos,No,,,"Sí, realiza envíos por medios electrónicos propios y DOC Digital",2023-12-28 12:50:24,2024-10-21 17:25:21
PE-GOR-00046,Gobierno Regional de la Región de la Araucanía,PA-GOR00046-00020,Compra menores a 3 UTM,Procedimiento administrativo de función común,Completado,"Este tipo de compra se pueden excluir del sistema de Compras Públicas y omitir la publicación en el Sistema de Información las compras inferiores a 3 Unidades Tributarias Mensuales. Las compras menores a 3 UTM podrán ser formalizadas a través de la emisión de una orden de compra manual, la que será publicada en el sitio de Transparencia Activa.",Administración y finanzas,Proceso de Funcionamiento,"De oficio: Por propia iniciativa, como consecuencia de una orden superior, a petición de otros órganos o por denuncia.",Solicitud de compra de bienes y/o servicios,Aceptación o rechazo de la factura o documento comercial del bien y/o servicio,,19886,https://www.bcn.cl/leychile/navegar?idNorma=213004,No,,,,,,Nivel 2,,Sí,,,https://intranet.gorearaucania.cl/index.php?id=244&no_cache=1,,,3,Las plataformas electrónicas soportan parcialmente las etapas de tramitación del procedimiento administrativo y/o trámite,,,,Sí,,,,,Sí,Utiliza un mecanismo propio de autenticación digital para funcionarios,No utiliza firma electrónica avanzada,Sí,Sí,Sí,Sí,Sólo por medios electrónicos.,Solo por medios eléctronicos,Solo por medios eléctronicos,No,,,"Sí, realiza envíos por medios electrónicos propios y DOC Digital",2023-12-28 12:52:05,2024-10-21 17:26:29
PE-GOR-00046,Gobierno Regional de la Región de la Araucanía,PA-GOR00046-00021,Reprogramación presupuestaria,Procedimiento administrativo de función común,Completado,"El Procedimiento Administrativo (PA) de reprogramación presupuestaria en Chile, permite la modificación de la distribución de los recursos presupuestarios con el fin de reorientar los gastos hacia áreas prioritarias o para hacer frente a situaciones de emergencia, siempre y cuando se respete el monto total del presupuesto asignado por ley y se cumplan los requisitos y plazos establecidos por la normativa correspondiente.",Administración y finanzas,Proceso de Funcionamiento,"De oficio: Por propia iniciativa, como consecuencia de una orden superior, a petición de otros órganos o por denuncia.",Oficio de reprogramación presupuestaria a DIPRES,Decreto de la DIPRES,,21516,https://www.bcn.cl/leychile/navegar?idNorma=1186683&idParte=10389591&idVersion=2022-12-20,No,,,,,,Nivel 2,,Sí,,,https://intranet.gorearaucania.cl/index.php?id=244&no_cache=1,,,3,Las plataformas electrónicas soportan parcialmente las etapas de tramitación del procedimiento administrativo y/o trámite,,,,Sí,,,,,Sí,Utiliza un mecanismo propio de autenticación digital para funcionarios,Utiliza firma electrónica avanzada del Estado (FirmaGob),Sí,Sí,,Sí,Sólo por medios electrónicos.,,Solo por medios eléctronicos,No,,,"Sí, realiza envíos por medios electrónicos propios y DOC Digital",2023-12-28 12:54:50,2024-10-21 17:27:32
PE-GOR-00046,Gobierno Regional de la Región de la Araucanía,PA-GOR00046-00022,Registro contable del servicio,Procedimiento administrativo de función común,Completado,Este trámite consiste en registrar todas las transacciones en un sistema contable del servicio,Administración y finanzas,Proceso de Contabilidad,"De oficio: Por propia iniciativa, como consecuencia de una orden superior, a petición de otros órganos o por denuncia.",Creación del documento,Registro en el SGDOC,,18575,https://www.bcn.cl/leychile/navegar?idNorma=29967,No,,,,,,Nivel 2,,Sí,,,https://intranet.gorearaucania.cl/index.php?id=244&no_cache=1,,,3,Las plataformas electrónicas soportan parcialmente las etapas de tramitación del procedimiento administrativo y/o trámite,,,,Sí,,,,,Sí,Utiliza un mecanismo propio de autenticación digital para funcionarios,No utiliza firma electrónica avanzada,No,,,,,,,No,,,"Sí, realiza envíos por medios electrónicos propios y DOC Digital",2023-12-28 13:19:14,2024-10-21 17:29:19
PE-GOR-00046,Gobierno Regional de la Región de la Araucanía,PA-GOR00046-00023,Calculo de remuneraciones (Planta y Contrata),Procedimiento administrativo de función común,Completado,"El procedimiento administrativo (PA) consiste en una serie de actividades que deben realizarse para garantizar un correcto control de asistencia del personal, verificando que esté actualizado con los permisos, feriados, horas extras, compensadas, y otros elementos relevantes para luego proceder con el cálculo de las remuneraciones correspondientes. Posteriormente, se envía este cálculo a la unidad de tesorería para su pago y finaliza con la contabilización correspondiente. Es importante señalar que este procedimiento abarca desde la revisión del control de asistencia hasta la contabilización y, por lo tanto, es crucial para el correcto funcionamiento de la organización.",Administración y finanzas,Proceso de contabilidad,"De oficio: Por propia iniciativa, como consecuencia de una orden superior, a petición de otros órganos o por denuncia.",Revisión de libros de asistencia,Liquidación de sueldo,,18834,https://www.bcn.cl/leychile/navegar?idNorma=30210,No,,,,,,Nivel 2,,Sí,,,https://intranet.gorearaucania.cl/index.php?id=244&no_cache=1,,,2,Las plataformas electrónicas soportan parcialmente las etapas de tramitación del procedimiento administrativo y/o trámite,,,,Sí,,,,,Sí,Utiliza un mecanismo propio de autenticación digital para funcionarios,No utiliza firma electrónica avanzada,Sí,Sí,,Sí,Sólo por medios electrónicos.,,Solo por medios eléctronicos,No,,,"Sí, realiza envíos por medios electrónicos propios",2023-12-28 13:22:09,2024-10-21 17:32:03
PE-GOR-00046,Gobierno Regional de la Región de la Araucanía,PA-GOR00046-00024,Pago a Consejeros Regionales,Procedimiento administrativo de función común,Completado,"El procedimiento administrativo (PA) inicia cuando la Secretaría Ejecutiva del CORE envía la documentación al Departamento de Finanzas y Presupuesto. En este proceso, se realiza una revisión exhaustiva de los documentos y se calculan los montos correspondientes a los pagos. Una vez que se han realizado los cálculos, se procede con la designación de los montos necesarios para realizar los pagos correspondientes. Finalmente, se realiza la contabilización de las transacciones efectuadas. Es importante destacar que este PA es esencial para garantizar un correcto y transparente manejo de los recursos financieros del CORE, así como para cumplir con las obligaciones legales y fiscales correspondientes.",Administración y finanzas,Proceso de Funcionamiento,"De oficio: Por propia iniciativa, como consecuencia de una orden superior, a petición de otros órganos o por denuncia.",Secretaría Ejecutiva del CORE envía documentos al Depto de Finanzas para solicitar el pago.,Finaliza con el pago a los Consejeros Regionales y su contabilización.,,19175,https://www.bcn.cl/leychile/navegar?idNorma=243771,No,,,,,,Nivel 2,,Sí,,,https://intranet.gorearaucania.cl/index.php?id=244&no_cache=1,,,2,Las plataformas electrónicas soportan parcialmente las etapas de tramitación del procedimiento administrativo y/o trámite,,,,Sí,,,,,Sí,Utiliza un mecanismo propio de autenticación digital para funcionarios,No utiliza firma electrónica avanzada,Sí,Sí,,Sí,Sólo por medios electrónicos.,,Solo por medios eléctronicos,No,,,"Sí, realiza envíos por medios electrónicos propios",2023-12-28 13:25:10,2024-10-21 17:34:20
PE-GOR-00046,Gobierno Regional de la Región de la Araucanía,PA-GOR00046-00025,Cometido Funcionario,Procedimiento administrativo de función común,Completado,"El Procedimiento Administrativo (PA) para la gestión de una solicitud de cometido tiene como objetivo establecer los pasos necesarios para llevar a cabo el proceso de forma eficiente y efectiva, desde la recepción de la solicitud de cometido a través del formulario en papel, hasta el pago y la contabilización de la transacción correspondiente.;Este proceso implica la obtención de las firmas de las jefaturas involucradas en la solicitud, y la posterior derivación de la misma al Proceso de Gestion de Personas para su revisión y/o cálculo del viático correspondiente. Una vez que se ha realizado el cálculo, se procede con el pago según corresponda, y se continúa con la contabilización.;Finalmente, la documentación completa es subida al sistema SIAPER, con el objetivo de mantener un registro adecuado y confiable de todas las transacciones relacionadas con los cometidos.",Administración y finanzas,Proceso de Gestion de Personas,"De oficio: Por propia iniciativa, como consecuencia de una orden superior, a petición de otros órganos o por denuncia.",Solicitud de cometido funcionario,Resolución SIAPER,,18834,https://www.bcn.cl/leychile/navegar?idNorma=30210,No,,,,,,Nivel 2,,Sí,,,https://intranet.gorearaucania.cl/index.php?id=244&no_cache=1,,,4,Las plataformas electrónicas soportan parcialmente las etapas de tramitación del procedimiento administrativo y/o trámite,,,,Sí,Sí,Sí,,,,No utiliza mecanismo de autenticación digital para funcionarios,Utiliza firma electrónica avanzada del Estado (FirmaGob),Sí,,,Sí,,,Solo por medios eléctronicos,No,,,"Sí, realiza envíos por medios electrónicos propios",2023-12-28 13:27:07,2024-10-21 17:35:51
PE-GOR-00046,Gobierno Regional de la Región de la Araucanía,PA-GOR00046-00039,Feriado Legal,Procedimiento administrativo de función común,Completado,"El Procedimiento Administrativo (PA) para la gestión de solicitudes de feriado legal se realiza a través de la intranet institucional. Se inicia con la solicitud que efectua el funcionario/a, la cual en una primera instancia es revisada y confirmada por RRHH, para finalmente seaaprobada o rechazada por el Jefe Directo.",Recursos humanos - gestión de personas,Profesional de Gestión de Personas,"Solicitud de partes: Solicitados por una parte interesada, cuya solicitud determina en principio y por sí misma el origen del procedimiento administrativo.",Solicitud del Funcionario,Resolucion Aprueba Feriado Legal,,18834,https://www.bcn.cl/leychile/navegar?idNorma=30210,No,,,,,,Nivel 3,,Sí,,,https://intranet.gorearaucania.cl/index.php?id=172&no_cache=1,,,2,Las plataformas electrónicas soportan parcialmente las etapas de tramitación del procedimiento administrativo y/o trámite,,,,Sí,Sí,,,,Sí,Utiliza un mecanismo propio de autenticación digital para funcionarios,Utiliza firma electrónica avanzada del Estado (FirmaGob),Sí,Sí,Sí,,Sólo por medios electrónicos.,Solo por medios eléctronicos,,No,,,"Sí, realiza envíos por medios electrónicos propios y DOC Digital",2024-10-21 16:31:20,2024-10-21 16:44:52
PE-GOR-00046,Gobierno Regional de la Región de la Araucanía,PA-GOR00046-00040,Selección de personal,Procedimiento administrativo de función común,Completado,Se procede a publicar las bases aprobadas por CGR en el Diario Oficial y otros medios de difusión. Se recepcional los antecedentes de los postulantes los cuales son revisados y partir de ello la Comisión de Selección presenta una terna para que el Gobernador Regional mediante MEMO determine el postulante seleccionado,Recursos humanos - gestión de personas,Gestión de Personas,"De oficio: Por propia iniciativa, como consecuencia de una orden superior, a petición de otros órganos o por denuncia.",Recepción de postulaciones por parte de los interesados,Elección del Candidato,,18834,https://www.bcn.cl/leychile/navegar?idNorma=30210,No,,,,,,Nivel 2,,Sí,,,https://intranet.gorearaucania.cl/index.php?id=244&no_cache=1,,,2,Las plataformas electrónicas soportan parcialmente las etapas de tramitación del procedimiento administrativo y/o trámite,,,,Sí,,Sí,,,,Utiliza un mecanismo propio de autenticación digital para funcionarios,No utiliza firma electrónica avanzada,Sí,Sí,Sí,Sí,Ambos medios,Ambos medios,Ambos medios,No,,,No considera comunicaciones oficiales,2024-10-21 16:51:16,2024-10-21 17:01:07
PE-GOR-00046,Gobierno Regional de la Región de la Araucanía,PA-GOR00046-00041,Contratación de Personal,Procedimiento administrativo de función común,Completado,MEMO determine el postulante seleccionado para que RRHH emita carta que notifica para aceptación del cargo y luego formula resolución exenta de selección. Finalmente RRHH dicta Resolución SIAPER que aprueba el respectivo nombramiento.,Recursos humanos - gestión de personas,Profesional del Gestion de Personas,"De oficio: Por propia iniciativa, como consecuencia de una orden superior, a petición de otros órganos o por denuncia.",Resolucion de Contratación del candidato seleccionado,Resolución siaper que aprueba nombramiento.,,18834,https://www.bcn.cl/leychile/navegar?idNorma=30210,No,,,,,,Nivel 2,,Sí,,,https://intranet.gorearaucania.cl/index.php?id=244&no_cache=1,,,2,Las plataformas electrónicas soportan parcialmente las etapas de tramitación del procedimiento administrativo y/o trámite,,,,Sí,,Sí,,,,Utiliza ClaveÚnica como mecanismo de autenticación digital para funcionarios,Utiliza firma electrónica avanzada del Estado (FirmaGob),Sí,Sí,,Sí,Sólo por medios electrónicos.,,Solo por medios eléctronicos,No,,,"Sí, realiza envíos por medios electrónicos propios y DOC Digital",2024-10-21 17:01:48,2024-10-21 17:08:42
PE-GOR-00046,Gobierno Regional de la Región de la Araucanía,PA-GOR00046-00042,Evaluación de Iniciativas de Inversion (Subtitulo 33),Procedimiento administrativo de función común,Completado,"El proceso de ""Evaluación de Iniciativas de Inversión"" para el GORE Araucanía comienza cuando una propuesta es declarada admisible. El Jefe de DIPLADER designa un Comité de Evaluación Técnica, compuesto por profesionales del Gobierno Regional, para evaluar la propuesta en un plazo de hasta 7 días hábiles. El comité emite un informe que incluye recomendaciones técnicas sobre la pertinencia de financiar la iniciativa. Si se requieren ajustes o información adicional, la institución tiene hasta dos oportunidades para reformular y reenviar la propuesta para su reevaluación.",Otro,Jefe de DIPLADER,"De oficio: Por propia iniciativa, como consecuencia de una orden superior, a petición de otros órganos o por denuncia.",Declaración de Admisibilidad Administrativa,"Oficio que informa ""Resultados de evaluación técnica""",,LEY DE PRESUPUESTOS DEL SECTOR PÚBLICO CORRESPONDIENTE AL AÑO 2024 | Ley 21.640,https://www.bcn.cl/leychile/navegar?idNorma=1199318,No,,,,,,Nivel 3,,Sí,,,https://intranet.gorearaucania.cl/index.php?id=244&no_cache=1,,,3,Las plataformas electrónicas soportan parcialmente las etapas de tramitación del procedimiento administrativo y/o trámite,,,,Sí,,Sí,,,,No utiliza mecanismo de autenticación digital para funcionarios,Utiliza firma electrónica avanzada del Estado (FirmaGob),Sí,Sí,Sí,Sí,Ambos medios,Ambos medios,Ambos medios,Sí,,,"Sí, realiza envíos por medios electrónicos propios y DOC Digital",2024-11-08 15:37:03,2024-12-30 12:33:31
PE-GOR-00046,Gobierno Regional de la Región de la Araucanía,PA-GOR00046-00043,Seguimiento de Iniciativas de Inversion (SubtÍtulo 33),Procedimiento administrativo de función común,Completado,"El procedimiento de ""Seguimiento de Iniciativas de Inversión"" tiene como objetivo asegurar que las iniciativas financiadas bajo el Subtítulo 33 por el Gobierno Regional de La Araucanía se ejecuten de acuerdo con los términos establecidos en la etapa de evaluación y aprobación. Una vez que una propuesta ha sido aprobada y financiada, la División de Planificación (DIPLADER) del GORE Araucanía, en conjunto con el Comité de Evaluación Técnica, inicia un proceso de monitoreo para verificar el cumplimiento de los objetivos, plazos y recursos comprometidos.",Otro,Jefe de DIPLADER,"De oficio: Por propia iniciativa, como consecuencia de una orden superior, a petición de otros órganos o por denuncia.",Contrato entre el Gobierno Regional y la institución pública,Oficio de Liquidación del proyecto,,LEY DE PRESUPUESTOS DEL SECTOR PÚBLICO CORRESPONDIENTE AL AÑO 2024 | Ley 21.640,https://www.bcn.cl/leychile/navegar?idNorma=1199318,No,,,,,,Nivel 3,,Sí,,,https://intranet.gorearaucania.cl/index.php?id=244&no_cache=1,,,3,Las plataformas electrónicas soportan parcialmente las etapas de tramitación del procedimiento administrativo y/o trámite,,,,Sí,,Sí,,,,No utiliza mecanismo de autenticación digital para funcionarios,Utiliza firma electrónica avanzada del Estado (FirmaGob),Sí,Sí,Sí,Sí,Ambos medios,Ambos medios,Ambos medios,Sí,,,"Sí, realiza envíos por medios electrónicos propios y DOC Digital",2024-11-08 15:55:06,2024-11-08 16:05:57
PE-GOR-00046,Gobierno Regional de la Región de la Araucanía,PT-GOR00046-00026,Elaboración de Convenio Mandato,Procedimiento administrativo de función específica,Completado,"Se solicita al Departamento Jurídico, por parte de otras divisiones del servicio, la elaboración de un convenio entre dos instituciones públicas al alero de lo establecido en el artículo 16, inciso cuarto, de la Ley 18.091. La división respectiva provee al Departamento Jurídico de toda la documentación requerida para su elaboración. Una vez elaborado el documento, se entrega a la división solicitante para su tramitación, visación y firmas.",Fiscalía - jurídica,Profesional Departamento Jurídico,"Solicitud de partes: Solicitados por una parte interesada, cuya solicitud determina en principio y por sí misma el origen del procedimiento administrativo.",MEMO DE SOLICITUD DE ELABORACIÓN DE CONVENIO,ENTREGA DE CONVENIO REDACTADO A LA DIVISIÓN REQUIRIENTE,Otros,18091,https://www.bcn.cl/leychile/navegar?idNorma=29516,Sí,No,Ambos tipos de personas: Persona natural y jurídica,No aplica,No se requiere información,Se puede realizar sólo en algunos períodos del año,Nivel 2,,Sí,,,https://intranet.gorearaucania.cl/index.php?id=531&no_cache=1,No,,1,Las plataformas electrónicas soportan parcialmente las etapas de tramitación del procedimiento administrativo y/o trámite,,,,Sí,,,,,Sí,Utiliza un mecanismo propio de autenticación digital para funcionarios,No utiliza firma electrónica avanzada,Sí,Sí,Sí,Sí,Ambos medios,Ambos medios,Ambos medios,No,No,,"Sí, realiza envíos por medios electrónicos propios",2023-12-26 10:52:37,2024-10-21 15:40:59
PE-GOR-00046,Gobierno Regional de la Región de la Araucanía,PT-GOR00046-00027,Elaboración de Convenio de Transferencia de Recursos,Procedimiento administrativo de función específica,Completado,"Se solicita al Departamento Jurídico la redacción y tramitación de convenios de transferencias de recursos del subtítulo 33 del presupuesto del Gobierno Regional a instituciones públicas y privadas sin fines de lucro, según lo establecido en la Ley de Presupuesto 21.516 y su glosa presupuestaria. Este procedimiento varía según las disposiciones de la Ley de Presupuesto de cada año y lo que dispongan sus glosas presupuestarias. La división requirente acompaña todos los antecedentes al departamento para la elaboración del convenio. Luego de su elaboración, es necesario distinguir si el convenio está afecto al trámite de Toma de Razón o no, lo que se determina en virtud del presupuesto comprometido (montos en UTM establecidos por Contraloría General de la República por resolución). En caso de no estar afecto al trámite de Toma de Razón, una vez elaborado el convenio, se devuelve a la división requirente para la tramitación de las firmas de las partes y, posteriormente, sancionarlo por resolución que se tramita a través de Oficina de Partes. En caso de estar afecto al trámite de Toma de Razón, luego de la tramitación de las firmas por parte de la división requirente, se reingresa al Departamento Jurídico para su tramitación e ingreso a la Contraloría Regional de La Araucanía.",Fiscalía - jurídica,PROFESIONAL DEPARTAMENTO JURIDICO,"De oficio: Por propia iniciativa, como consecuencia de una orden superior, a petición de otros órganos o por denuncia.",MEMO DE SOLICITUD DE ELABORACIÓN DE CONVENIO,RESOLUCIÓN QUE SANCIONA EL CONVENIO,Otros,19175,https://www.bcn.cl/leychile/navegar?idNorma=243771,No,No,"Persona jurídica: Ente ficticio que tiene la capacidad legal de adquirir derechos, contraer obligaciones y ser representado judicial y extrajudicialmente",No aplica,No se requiere información,Se puede realizar sólo en algunos períodos del año,Nivel 2,,Sí,,,https://intranet.gorearaucania.cl/index.php?id=244&no_cache=1,No,,1,Las plataformas electrónicas soportan parcialmente las etapas de tramitación del procedimiento administrativo y/o trámite,,,,Sí,,,,,Sí,No utiliza mecanismo de autenticación digital para funcionarios,Utiliza firma electrónica avanzada del Estado (FirmaGob),Sí,Sí,Sí,Sí,Ambos medios,Ambos medios,Ambos medios,No,No,,"Sí, realiza envíos por medios electrónicos propios y DOC Digital",2023-12-26 11:00:23,2024-10-21 15:47:49
PE-GOR-00046,Gobierno Regional de la Región de la Araucanía,PT-GOR00046-00028,Elaboración de Convenio de Instalación de Agua Potable Rural (APR),Procedimiento administrativo de función específica,Completado,"Se solicita al Departamento Jurídico, por el proceso de Agua Potable Rural de la División de Infraestructura y Transportes, la elaboración de convenios con instituciones públicas o privadas para proyectos de saneamiento rural, a través de recursos transferidos desde el subtítulo 31 del presupuesto del Gobierno Regional, al alero de lo establecido en la Ley 21.516 y las glosas presupuestarias. Posterior a la elaboración del convenio, se devuelve a la división respectiva para su tramitación y firma. Luego reingresa al Departamento Jurídico para el ingreso del convenio y su resolución aprobatoria al trámite de Toma de Razón ante Contraloría Regional de La Araucanía.",Fiscalía - jurídica,PROFESIONAL DEPARTAMENTO JURIDICO,"De oficio: Por propia iniciativa, como consecuencia de una orden superior, a petición de otros órganos o por denuncia.",MEMO DE SOLICITUD DE ELABORACIÓN DE CONVENIO,RESOLUCIÓN QUE SANCIONA EL CONVENIO,Otros,19175,https://www.bcn.cl/leychile/navegar?idNorma=243771,Sí,No,"Persona jurídica: Ente ficticio que tiene la capacidad legal de adquirir derechos, contraer obligaciones y ser representado judicial y extrajudicialmente",No aplica,No se requiere información,Se puede realizar sólo en algunos períodos del año,Nivel 2,,Sí,,,https://intranet.gorearaucania.cl/index.php?id=244&no_cache=1,No,,1,Las plataformas electrónicas soportan parcialmente las etapas de tramitación del procedimiento administrativo y/o trámite,,,,Sí,,,,,Sí,Utiliza un mecanismo propio de autenticación digital para funcionarios,No utiliza firma electrónica avanzada,Sí,Sí,Sí,Sí,Ambos medios,Ambos medios,Ambos medios,No,No,,"Sí, realiza envíos por medios electrónicos propios y DOC Digital",2023-12-26 11:16:51,2024-10-21 15:53:37
PE-GOR-00046,Gobierno Regional de la Región de la Araucanía,PT-GOR00046-00029,Elaboración de Convenios de Electrificación Rural,Procedimiento administrativo de función específica,Completado,"Se solicita al Departamento Jurídico, por parte de la División de Infraestructura y Transportes, la revisión y visación de los convenios con instituciones privadas para proyectos de electrificación rural, con recursos transferidos desde el subtítulo 31 del presupuesto del Gobierno Regional, al alero de lo establecido en la Ley 21.516 y las glosas presupuestarias. El Departamento Jurídico revisa los antecedentes y procede a visar el convenio y resolución que se acompañan para luego devolver la solicitud a la división requirente para que realice su tramitación y firmas.",Fiscalía - jurídica,PROFESIONAL DEPARTAMENTO JURIDICO,"De oficio: Por propia iniciativa, como consecuencia de una orden superior, a petición de otros órganos o por denuncia.",MEMO DE SOLICITUD DE REVISIÓN DE ANTECEDENTES ,DEVOLUCIÓN DE ANTECEDENTES VISADOS,Otros,19175,https://www.bcn.cl/leychile/navegar?idNorma=243771,Sí,No,"Persona jurídica: Ente ficticio que tiene la capacidad legal de adquirir derechos, contraer obligaciones y ser representado judicial y extrajudicialmente",No aplica,No se requiere información,Se puede realizar sólo en algunos períodos del año,Nivel 2,,Sí,,,https://intranet.gorearaucania.cl/index.php?id=244&no_cache=1,No,,1,Las plataformas electrónicas soportan parcialmente las etapas de tramitación del procedimiento administrativo y/o trámite,,,,Sí,,,Sí,,,No utiliza mecanismo de autenticación digital para funcionarios,No utiliza firma electrónica avanzada,Sí,Sí,,Sí,Ambos medios,,Ambos medios,No,No,,"Sí, realiza envíos por medios electrónicos propios y DOC Digital",2023-12-26 11:36:14,2024-10-21 15:59:54
PE-GOR-00046,Gobierno Regional de la Región de la Araucanía,PT-GOR00046-00030,Elaboración Contratos Administrativos De Suministro Y Prestación De Servicios De La Ley 19.886,Procedimiento administrativo de función específica,Completado,Se solicita al departamento por parte de la división requirente la elaboración de contratos regidos por lo establecido en la ley 19.886 y el ds 250 de 2004 sobre contratos administrativos de suministro y prestación de servicios. Se ingresa la solicitud a través de memo con todos los antecedentes de para la elaboración del contrato respectivo. Una vez elaborado se devuelve a la división requirente para su tramitación y firmas.,Fiscalía - jurídica,PROFESIONAL DEPARTAMENTO JURIDICO,"De oficio: Por propia iniciativa, como consecuencia de una orden superior, a petición de otros órganos o por denuncia.",MEMO DE SOLICITUD DE ELABORACIÓN DE CONTRATO,DEVOLUCIÓN DE CONTRATO PARA SU TRAMITACIÓN,Otros,19175,https://www.bcn.cl/leychile/navegar?idNorma=243771,Sí,No,"Persona jurídica: Ente ficticio que tiene la capacidad legal de adquirir derechos, contraer obligaciones y ser representado judicial y extrajudicialmente",No aplica,No se requiere información,Se puede realizar sólo en algunos períodos del año,Nivel 2,,Sí,,,https://intranet.gorearaucania.cl/index.php?id=244&no_cache=1,No,,1,Las plataformas electrónicas soportan parcialmente las etapas de tramitación del procedimiento administrativo y/o trámite,,,,Sí,,,,,Sí,No utiliza mecanismo de autenticación digital para funcionarios,No utiliza firma electrónica avanzada,Sí,Sí,,Sí,Ambos medios,,Ambos medios,No,No,,"Sí, realiza envíos por medios electrónicos propios y DOC Digital",2023-12-26 11:53:07,2024-11-08 16:07:53
